page,section,subsection,item,2021,2020
6,ASET,ASET LANCAR,"Kas dan setara kas 4,33",360.662.679.743,348.026.902.985
6,ASET,ASET LANCAR,"Deposito berjangka yang dibatasi penggunaannya 5,33",24.219.914.929,21.103.842.879
6,ASET,ASET LANCAR,31 Desember 2021 dan 2020,83.071.117.010,87.196.198.463
6,ASET,ASET LANCAR,Pihak berelasi 30,684.677.718,581.104.437
6,ASET,ASET LANCAR,Piutang lain-lain,-,-
6,ASET,ASET LANCAR,pihak ketiga,254.139.325,986.432.198
6,ASET,ASET LANCAR,dan 2020 7,168.288.992.651,86.409.350.807
6,ASET,ASET LANCAR,Pajak dibayar di muka 16a,11.330.792,472.020.184
6,ASET,ASET LANCAR,Beban dibayar di muka dan uang muka 8,5.864.472.120,6.980.448.125
6,ASET,ASET LANCAR,Aset lancar lainnya 33,716.097.870,737.558.020
6,ASET,ASET LANCAR,Total aset lancar,643.773.422.158,552.493.858.098
6,ASET,ASET TIDAK LANCAR,"Piutang lain-lain - pihak berelasi 30,33",199.841.850,274.104.730
6,ASET,ASET TIDAK LANCAR,Investasi pada entitas asosiasi 9,580.172.455,569.925.887
6,ASET,ASET TIDAK LANCAR,"Aset keuangan pada nilai wajar melalui penghasilan komprehensif lain 10,33,36",53.136.538.636,47.379.663.055
6,ASET,ASET TIDAK LANCAR,31 Desember 2021 dan 2020 11,459.573.571.345,474.173.694.707
6,ASET,ASET TIDAK LANCAR,31 Desember 2021 dan 2020 12,511.213.187,608.507.000
6,ASET,ASET TIDAK LANCAR,Uang muka perolehaan aset tetap 13,6.235.779.401,2.849.525.000
6,ASET,ASET TIDAK LANCAR,Taksiran tagihan restitusi pajak penghasilan 16b,–,79.316.000
6,ASET,ASET TIDAK LANCAR,Aset pajak tangguhan 16d,1.554.206.231,3.551.225.909
6,ASET,ASET TIDAK LANCAR,Total aset tidak lancar,521.791.323.105,529.485.962.288
6,ASET,TOTAL ASET,TOTAL ASET,1.165.564.745.263,1.081.979.820.386
7,LIABILITAS JANGKA,PENDEK,"Catatan bagian yang atas laporan tidak terpisahkan keuangan dari konsolidasian laporan keuangan terlampir konsolidasian merupakan The accompanying an integral part notes of these to the consolidated consolidated fina fin Utang bank jangka pendek 14,33",28.907.055.212,9.783.967.560
7,LIABILITAS JANGKA,PENDEK,Pihak ketiga,31.551.310.050,23.690.943.245
7,LIABILITAS JANGKA,PENDEK,Pihak berelasi 30,2.017.320.396,1.979.059.727
7,LIABILITAS JANGKA,PENDEK,Utang lain-lain 32,1.278.821.167,1.055.817.614
7,LIABILITAS JANGKA,PENDEK,Utang pajak 16c,9.340.820.989,17.326.789.738
7,LIABILITAS JANGKA,PENDEK,"Liabilitas imbalan kerja jangka pendek 17,33",4.752.467.212,5.129.108.697
7,LIABILITAS JANGKA,PENDEK,"Beban akrual 18,33",1.829.495.271,2.650.144.449
7,LIABILITAS JANGKA,PENDEK,Utang dividen 33,1.072.127.413,846.702.744
7,LIABILITAS JANGKA,PENDEK,"Liabilitas jangka panjang yang jatuh tempo dalam satu tahun: of Utang bank jangka panjang 14,33",1.476.443.476,4.973.128.138
7,LIABILITAS JANGKA,PENDEK,Liabilitas sewa 19,755.220.593,731.096.396
7,LIABILITAS JANGKA,PENDEK,Total liabilitas jangka pendek,82.981.081.779,68.166.758.308
7,LIABILITAS JANGKA,,"setelah dikurangi bagian yang akan jatuh tempo dalam n satu tahun: Utang bank jangka panjang 14,33",1.897.912.636,3.449.111.321
7,LIABILITAS JANGKA,,Liabilitas sewa 19,17.553.474.622,18.714.304.552
7,LIABILITAS JANGKA,,Liabilitas pajak tangguhan 16d,4.591.921.620,4.483.794.698
7,LIABILITAS JANGKA,,Liabilitas imbalan pasca kerja 17,28.140.908.542,34.803.293.845
7,LIABILITAS JANGKA,,Total liabilitas jangka panjang,52.184.217.420,61.450.504.416
7,LIABILITAS JANGKA,TOTAL LIABILITAS,TOTAL LIABILITAS,135.165.299.199,129.617.262.724
8,Catatan /,,Modal dasar,-,1.600.000.000
8,Catatan /,,Modal ditempatkan dan disetor Is penuh - 698.775.000 saham 20 34.938.750.000,34.938.750.000,34.938.750.000
8,Catatan /,,Tambahan modal disetor 21 138.490.000,138.490.000,138.490.000
8,Catatan /,,Komponen ekuitas lain : Othe Selisih transaksi Dif perubahan ekuitas Entitas Anak (3.528.637.968) (,3.528.637.968,3.528.637.968
8,Catatan /,,Selisih kurs karena E penjabaran laporan tr keuangan dalam mata uang asing,13.072.283.357,16.283.775.681
8,Catatan /,,Keuntungan yang belum direalisasi atas perubahan cha nilai wajar aset keuangan pada nilai wajar melalui fair penghasilan komprensif lain 10,30.777.817.918,26.287.454.965
8,Catatan /,,Pengukuran kembali liabilitas imbalan pasca kerja 17 (5.290.531.634) (,6.202.022.525,-
8,Catatan /,,dari akumulasi penyusutan 11,274.004.704.278,276.302.451.162
8,Catatan /,,Saldo laba Telah ditentukan Penggunaannya 7.200.000.000,7.200.000.000,7.200.000.000
8,Catatan /,,Belum ditentukan Penggunaannya,646.926.708.288,571.664.170.983
8,Catatan /,,Total ekuitas yang dapat T diatribusikan kepada pemilik entitas induk,998.239.584.239,923.084.432.298
8,Catatan /,,Kepentingan non-pengendali 23,32.159.861.825,29.278.125.364
8,Catatan /,,Total ekuitas,1.030.399.446.064,952.362.557.662
